Country,Country ID,Year,Imports (USD),Share (%)
Algeria,DZA,2020,715866553.0,0.188
Egypt,EGY,2020,1765560631.0,0.463
Libya,LBY,2020,12625215.0,0.003
Morocco,MAR,2020,1312162995.0,0.344
Sudan,SDN,2020,254225771.0,0.067
Tunisia,TUN,2020,125470224.0,0.033
Burundi,BDI,2020,1597365.0,0.000
Comoros,COM,2020,18939106.0,0.005
Djibouti,DJI,2020,17258963.0,0.005
Eritrea,ERI,2020,956.0,0.000
Ethiopia,ETH,2020,43025476.0,0.011
Kenya,KEN,2020,90358544.0,0.024
Madagascar,MDG,2020,104090902.0,0.027
Mozambique,MOZ,2020,750418324.0,0.197
Mauritius,MUS,2020,41328684.0,0.011
Malawi,MWI,2020,6101999.0,0.002
Rwanda,RWA,2020,5759912.0,0.002
Somalia,SOM,2020,5114549.0,0.001
South Sudan,SSD,2020,2077588.0,0.001
Seychelles,SYC,2020,4743151.0,0.001
Tanzania,TZA,2020,921586563.0,0.242
Uganda,UGA,2020,58181534.0,0.015
Angola,AGO,2020,1875056689.0,0.492
Central African Republic,CAF,2020,235271.0,0.000
Cameroon,CMR,2020,443075665.0,0.116
Democratic Republic of the Congo,COD,2020,14794020.0,0.004
Republic of the Congo,COG,2020,232684626.0,0.061
Gabon,GAB,2020,302295077.0,0.079
Equatorial Guinea,GNQ,2020,357390094.0,0.094
Sao Tome and Principe,STP,2020,81200.0,0.000
Chad,TCD,2020,115840668.0,0.030
Botswana,BWA,2020,470049400.0,0.123
Lesotho,LSO,2020,418641.0,0.000
Namibia,NAM,2020,34441462.0,0.009
Eswatini,SWZ,2020,5728756.0,0.002
South Africa,ZAF,2020,7662730697.0,2.009
Zambia,ZMB,2020,347793453.0,0.091
Zimbabwe,ZWE,2020,2473869.0,0.001
Benin,BEN,2020,376736059.0,0.099
Burkina Faso,BFA,2020,634731616.0,0.166
Cote d'Ivoire,CIV,2020,269007605.0,0.071
Cape Verde,CPV,2020,1607291.0,0.000
Ghana,GHA,2020,1206213913.0,0.316
Guinea,GIN,2020,1006909890.0,0.264
Gambia,GMB,2020,38785904.0,0.010
GuineaBissau,GNB,2020,128735488.0,0.034
Liberia,LBR,2020,6883665.0,0.002
Mali,MLI,2020,49463350.0,0.013
Mauritania,MRT,2020,7177543.0,0.002
Niger,NER,2020,4184923.0,0.001
Nigeria,NGA,2020,6335182400.0,1.661
Senegal,SEN,2020,385303731.0,0.101
Saint Helena,SHN,2020,10628.0,0.000
Sierra Leone,SLE,2020,13395051.0,0.004
Togo,TGO,2020,259243028.0,0.068
Kazakhstan,KAZ,2020,1986714118.0,0.521
Kyrgyzstan,KGZ,2020,6504791.0,0.002
Tajikistan,TJK,2020,361497.0,0.000
Turkmenistan,TKM,2020,686144.0,0.000
Uzbekistan,UZB,2020,37577797.0,0.010
China,CHN,2020,61002279707.0,15.995
Hong Kong,HKG,2020,14313845440.0,3.753
Japan,JPN,2020,9994504491.0,2.621
South Korea,KOR,2020,12028618866.0,3.154
Macau,MAC,2020,19828420.0,0.005
Mongolia,MNG,2020,1567292.0,0.000
North Korea,PRK,2020,1926069.0,0.001
Chinese Taipei,TWN,2020,3615897635.0,0.948
Brunei,BRN,2020,404423299.0,0.106
Christmas Island,CXR,2020,1986.0,0.000
Indonesia,IDN,2020,11722715300.0,3.074
Cambodia,KHM,2020,70986978.0,0.019
Laos,LAO,2020,110623476.0,0.029
Burma,MMR,2020,671091416.0,0.176
Malaysia,MYS,2020,7622582504.0,1.999
Philippines,PHL,2020,724487819.0,0.190
Singapore,SGP,2020,12292364444.0,3.223
Thailand,THA,2020,5479925183.0,1.437
TimorLeste,TLS,2020,39931.0,0.000
Vietnam,VNM,2020,5677825722.0,1.489
Afghanistan,AFG,2020,511431026.0,0.134
Bangladesh,BGD,2020,1024439180.0,0.269
Bhutan,BTN,2020,207011988.0,0.054
Iran,IRN,2020,679830297.0,0.178
Sri Lanka,LKA,2020,739607634.0,0.194
Maldives,MDV,2020,20691412.0,0.005
Nepal,NPL,2020,669587630.0,0.176
Pakistan,PAK,2020,2468196.0,0.001
United Arab Emirates,ARE,2020,24081458275.0,6.314
Armenia,ARM,2020,148185989.0,0.039
Azerbaijan,AZE,2020,452172244.0,0.119
Bahrain,BHR,2020,586701860.0,0.154
Georgia,GEO,2020,79915847.0,0.021
Iraq,IRQ,2020,16172886358.0,4.241
Israel,ISR,2020,1768258529.0,0.464
Jordan,JOR,2020,1203209956.0,0.315
Kuwait,KWT,2020,6619513948.0,1.736
Lebanon,LBN,2020,30882075.0,0.008
Oman,OMN,2020,3078065297.0,0.807
Palestine,PSE,2020,108512.0,0.000
Qatar,QAT,2020,8097265937.0,2.123
Saudi Arabia,SAU,2020,17723043343.0,4.647
Syria,SYR,2020,14920827.0,0.004
Turkey,TUR,2020,1613824838.0,0.423
Yemen,YEM,2020,13721618.0,0.004
Cyprus,CYP,2020,69495539.0,0.018
Bulgaria,BGR,2020,142920658.0,0.037
Belarus,BLR,2020,402731654.0,0.106
Czechia,CZE,2020,469489796.0,0.123
Hungary,HUN,2020,241889816.0,0.063
Moldova,MDA,2020,90142.0,0.000
Poland,POL,2020,670839051.0,0.176
Romania,ROU,2020,230570565.0,0.060
Russia,RUS,2020,5997818992.0,1.573
Slovakia,SVK,2020,74683399.0,0.020
Ukraine,UKR,2020,2064371517.0,0.541
Denmark,DNK,2020,561408197.0,0.147
Estonia,EST,2020,80067943.0,0.021
Finland,FIN,2020,639080102.0,0.168
United Kingdom,GBR,2020,4738740879.0,1.243
Ireland,IRL,2020,418610349.0,0.110
Iceland,ISL,2020,5406852.0,0.001
Lithuania,LTU,2020,209373622.0,0.055
Latvia,LVA,2020,168270888.0,0.044
Norway,NOR,2020,503919172.0,0.132
Sweden,SWE,2020,1012000137.0,0.265
Albania,ALB,2020,4472995.0,0.001
Andorra,AND,2020,8047.0,0.000
Bosnia and Herzegovina,BIH,2020,5293845.0,0.001
Spain,ESP,2020,1470458248.0,0.386
Gibraltar,GIB,2020,350458.0,0.000
Greece,GRC,2020,138105332.0,0.036
Croatia,HRV,2020,42654522.0,0.011
Italy,ITA,2020,3645759413.0,0.956
North Macedonia,MKD,2020,6385751.0,0.002
Malta,MLT,2020,127886394.0,0.034
Montenegro,MNE,2020,445207.0,0.000
Portugal,PRT,2020,137163222.0,0.036
San Marino,SMR,2020,80605.0,0.000
Serbia,SRB,2020,19660954.0,0.005
Slovenia,SVN,2020,262894511.0,0.069
Austria,AUT,2020,770956915.0,0.202
Belgium,BEL,2020,6450266830.0,1.691
Switzerland,CHE,2020,12412861746.0,3.255
Germany,DEU,2020,12252402541.0,3.213
France,FRA,2020,4318004261.0,1.132
Luxembourg,LUX,2020,45600459.0,0.012
Netherlands,NLD,2020,2915251793.0,0.764
