Section ID,Section,HS4 ID,HS4,Year,Exports from China to India,PCI
1,Animal Products,0101,Horses,2020,271.0,0.11
1,Animal Products,0106,Other Animals,2020,41585.0,
1,Animal Products,0303,Non-fillet Frozen Fish,2020,92726.0,-0.95
1,Animal Products,0304,Fish Fillets,2020,383943.0,-0.68
1,Animal Products,0306,Crustaceans,2020,2016597.0,-2.06
1,Animal Products,0307,Molluscs,2020,323347.0,-1.42
1,Animal Products,0410,Other Edible Animal Products,2020,10368.0,-0.55
1,Animal Products,0502,Pig Hair,2020,373255.0,
1,Animal Products,0505,Bird Feathers and Skins,2020,14252.0,0.08
1,Animal Products,0508,Coral and Shells,2020,49713.0,
1,Animal Products,0511,Other Inedible Animal Products,2020,1360868.0,-0.84
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2020,3626726.0,-0.94
2,Vegetable Products,0603,Cut Flowers,2020,82839.0,-1.51
2,Vegetable Products,0604,Plant foliage,2020,259986.0,-0.94
2,Vegetable Products,0703,Onions,2020,609751.0,-1.97
2,Vegetable Products,0710,Frozen Vegetables,2020,97463.0,-0.85
2,Vegetable Products,0711,Preserved Vegetables,2020,418424.0,
2,Vegetable Products,0712,Dried Vegetables,2020,1700935.0,-1.02
2,Vegetable Products,0713,Dried Legumes,2020,46071170.0,-2.03
2,Vegetable Products,0802,Other Nuts,2020,2937664.0,-1.39
2,Vegetable Products,0804,Tropical Fruits,2020,218895.0,-1.72
2,Vegetable Products,0805,Citrus,2020,494360.0,-1.13
2,Vegetable Products,0806,Grapes,2020,7299857.0,-1.29
2,Vegetable Products,0808,Apples and Pears,2020,65394.0,-0.77
2,Vegetable Products,0809,Pitted Fruits,2020,3628442.0,-1.31
2,Vegetable Products,0811,Frozen Fruits and Nuts,2020,23428.0,-0.68
2,Vegetable Products,0812,Preserved Fruits and Nuts,2020,30.0,
2,Vegetable Products,0813,Dried Fruits,2020,8642.0,-1.44
2,Vegetable Products,0902,Tea,2020,1133729.0,-1.59
2,Vegetable Products,0904,Pepper,2020,1437316.0,-2.01
2,Vegetable Products,0906,Cinnamon,2020,4947584.0,
2,Vegetable Products,0909,Spice Seeds,2020,4973642.0,-1.64
2,Vegetable Products,0910,Spices,2020,995037.0,-1.64
2,Vegetable Products,1008,Buckwheat,2020,37379.0,
2,Vegetable Products,1102,Cereal Flours,2020,5962.0,-1.18
2,Vegetable Products,1107,Malt,2020,160651.0,-0.05
2,Vegetable Products,1108,Starches,2020,72913.0,-0.61
2,Vegetable Products,1109,Wheat Gluten,2020,10248654.0,0.71
2,Vegetable Products,1206,Sunflower Seeds,2020,937623.0,-0.22
2,Vegetable Products,1207,Other Oily Seeds,2020,3914363.0,-2.51
2,Vegetable Products,1209,Sowing Seeds,2020,2583814.0,-0.15
2,Vegetable Products,1210,Hops,2020,2119.0,0.23
2,Vegetable Products,1211,Perfume Plants,2020,3128421.0,-2.05
2,Vegetable Products,1212,"Locust beans, seaweed, sugar beet, cane, for food",2020,6630152.0,-1.63
2,Vegetable Products,1301,Insect Resins,2020,472698.0,-2.59
2,Vegetable Products,1302,Vegetable Saps,2020,27251660.0,-0.49
