Country,Country ID,Year,Imports (USD),Share (%)
Serbia,SRB,2021,24261958.0,0.004
Slovenia,SVN,2021,283642837.0,0.049
Austria,AUT,2021,989927141.0,0.170
Belgium,BEL,2021,9179737957.0,1.579
Switzerland,CHE,2021,30977523466.0,5.329
Germany,DEU,2021,15195851093.0,2.614
France,FRA,2021,6214170269.0,1.069
Luxembourg,LUX,2021,56727829.0,0.010
Netherlands,NLD,2021,4216685134.0,0.725
Aruba,ABW,2021,2004553.0,0.000
Anguilla,AIA,2021,95267.0,0.000
Antigua and Barbuda,ATG,2021,191064.0,0.000
Bahamas,BHS,2021,3561321.0,0.001
Barbados,BRB,2021,976181.0,0.000
Cuba,CUB,2021,2493753.0,0.000
Curaçao,CUW,2021,9648405.0,0.002
Cayman Islands,CYM,2021,85171898.0,0.015
Dominica,DMA,2021,217495.0,0.000
Dominican Republic,DOM,2021,659180208.0,0.113
Grenada,GRD,2021,757343.0,0.000
Haiti,HTI,2021,20373003.0,0.004
Jamaica,JAM,2021,2150885.0,0.000
Saint Kitts and Nevis,KNA,2021,1018690.0,0.000
Saint Lucia,LCA,2021,240044.0,0.000
Turks and Caicos Islands,TCA,2021,53526.0,0.000
Trinidad and Tobago,TTO,2021,142573939.0,0.025
Saint Vincent and the Grenadines,VCT,2021,11982284.0,0.002
British Virgin Islands,VGB,2021,17169973.0,0.003
Belize,BLZ,2021,429569.0,0.000
Costa Rica,CRI,2021,49733660.0,0.009
Guatemala,GTM,2021,19611306.0,0.003
Honduras,HND,2021,17409667.0,0.003
Mexico,MEX,2021,4137190787.0,0.712
Nicaragua,NIC,2021,9652791.0,0.002
Panama,PAN,2021,216656184.0,0.037
El Salvador,SLV,2021,3654873.0,0.001
Bermuda,BMU,2021,43220.0,0.000
Canada,CAN,2021,3195439129.0,0.550
Greenland,GRL,2021,9288.0,0.000
United States,USA,2021,41048939452.0,7.061
Australia,AUS,2021,17483499106.0,3.007
New Zealand,NZL,2021,403741094.0,0.069
Fiji,FJI,2021,1195440.0,0.000
New Caledonia,NCL,2021,6215861.0,0.001
Papua New Guinea,PNG,2021,328403493.0,0.056
Solomon Islands,SLB,2021,33063848.0,0.006
Guam,GUM,2021,94641.0,0.000
Kiribati,KIR,2021,41125.0,0.000
Marshall Islands,MHL,2021,1451022.0,0.000
Northern Mariana Islands,MNP,2021,61456.0,0.000
Nauru,NRU,2021,17183934.0,0.003
American Samoa,ASM,2021,29129.0,0.000
French Polynesia,PYF,2021,879323.0,0.000
Tokelau,TKL,2021,421903.0,0.000
Samoa,WSM,2021,424810.0,0.000
Norfolk Island,NFK,2021,272897.0,0.000
Argentina,ARG,2021,4179391966.0,0.719
Bolivia,BOL,2021,1852177679.0,0.319
Brazil,BRA,2021,4948823996.0,0.851
Chile,CHL,2021,1280091111.0,0.220
Colombia,COL,2021,2289745235.0,0.394
Ecuador,ECU,2021,750977953.0,0.129
Guyana,GUY,2021,157741729.0,0.027
Peru,PER,2021,2529981628.0,0.435
Paraguay,PRY,2021,234545767.0,0.040
Suriname,SUR,2021,37342073.0,0.006
Uruguay,URY,2021,85932248.0,0.015
Venezuela,VEN,2021,98618798.0,0.017
