Section ID,Section,HS4 ID,HS4,Year,Exports from China to India,PCI
1,Animal Products,0106,Other Animals,2022,62482.0,
1,Animal Products,0210,Preserved Meat,2022,187.0,0.12
1,Animal Products,0301,Live Fish,2022,2319.0,-0.73
1,Animal Products,0303,Non-fillet Frozen Fish,2022,12729406.0,-0.95
1,Animal Products,0305,Dried/Salted/Smoked/Brined Fish,2022,2.0,0.06
1,Animal Products,0306,Crustaceans,2022,10852137.0,-2.07
1,Animal Products,0307,Molluscs,2022,401793.0,-1.35
1,Animal Products,0407,Eggs,2022,288.0,-0.55
1,Animal Products,0408,Processed Egg Products,2022,5725.0,
1,Animal Products,0410,Other Edible Animal Products,2022,7308.0,-1.07
1,Animal Products,0502,Pig Hair,2022,840427.0,
1,Animal Products,0505,Bird Feathers and Skins,2022,48411.0,0.26
1,Animal Products,0507,Raw Bones,2022,13290.0,
1,Animal Products,0508,Coral and Shells,2022,83820.0,
1,Animal Products,0510,Pharmaceutical Animal Products,2022,1619398.0,
1,Animal Products,0511,Other Inedible Animal Products,2022,5084345.0,-0.48
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2022,11384721.0,-0.98
2,Vegetable Products,0603,Cut Flowers,2022,73058.0,-1.49
2,Vegetable Products,0604,Plant foliage,2022,812828.0,-0.87
2,Vegetable Products,0710,Frozen Vegetables,2022,139390.0,-0.66
2,Vegetable Products,0711,Preserved Vegetables,2022,516941.0,
2,Vegetable Products,0712,Dried Vegetables,2022,1389234.0,-1.28
2,Vegetable Products,0713,Dried Legumes,2022,8167659.0,-2.07
2,Vegetable Products,0802,Other Nuts,2022,72860.0,-1.36
2,Vegetable Products,0805,Citrus,2022,473580.0,-1.21
2,Vegetable Products,0806,Grapes,2022,10944922.0,-1.53
2,Vegetable Products,0809,Pitted Fruits,2022,1713780.0,-1.35
2,Vegetable Products,0810,Other Fruits,2022,12183.0,-1.06
2,Vegetable Products,0811,Frozen Fruits and Nuts,2022,189270.0,-0.72
2,Vegetable Products,0813,Dried Fruits,2022,154.0,-1.47
2,Vegetable Products,0814,Citrus and Melon Peels,2022,435.0,
2,Vegetable Products,0901,Coffee,2022,593.0,-1.23
2,Vegetable Products,0902,Tea,2022,1974740.0,-1.60
2,Vegetable Products,0904,Pepper,2022,2222748.0,-2.09
2,Vegetable Products,0906,Cinnamon,2022,4039547.0,
2,Vegetable Products,0909,Spice Seeds,2022,2002738.0,-2.12
2,Vegetable Products,0910,Spices,2022,95242.0,-1.70
2,Vegetable Products,1106,Legume Flours,2022,1950.0,
2,Vegetable Products,1107,Malt,2022,2835228.0,-0.36
2,Vegetable Products,1108,Starches,2022,659203.0,-0.33
2,Vegetable Products,1109,Wheat Gluten,2022,18690805.0,0.02
2,Vegetable Products,1201,Soybeans,2022,27158.0,-2.07
2,Vegetable Products,1202,Ground Nuts,2022,1.0,-2.82
2,Vegetable Products,1206,Sunflower Seeds,2022,1337445.0,-0.53
2,Vegetable Products,1207,Other Oily Seeds,2022,23628957.0,-2.46
2,Vegetable Products,1209,Sowing Seeds,2022,3905327.0,-0.20
2,Vegetable Products,1211,Perfume Plants,2022,2825333.0,-2.03
2,Vegetable Products,1212,"Locust beans, seaweed, sugar beet, cane, for food",2022,1184082.0,-1.67
2,Vegetable Products,1301,Insect Resins,2022,1916266.0,-2.71
2,Vegetable Products,1302,Vegetable Saps,2022,35142279.0,-0.26
2,Vegetable Products,1401,Vegetable Plaiting Materials,2022,62505563.0,
2,Vegetable Products,1404,Other Vegetable Products,2022,17361.0,-1.73
3,Animal and Vegetable Bi-Products,1504,Fish Oil,2022,7347574.0,-1.91
3,Animal and Vegetable Bi-Products,1505,Wool Grease,2022,3321675.0,
3,Animal and Vegetable Bi-Products,1512,Seed Oils,2022,119393.0,-1.02
3,Animal and Vegetable Bi-Products,1515,Other Pure Vegetable Oils,2022,1591916.0,-0.52
3,Animal and Vegetable Bi-Products,1516,Other Vegetable Oils,2022,68616.0,-1.75
3,Animal and Vegetable Bi-Products,1517,Margarine,2022,2375.0,-1.07
3,Animal and Vegetable Bi-Products,1518,Inedible Fats and Oils,2022,44685.0,-0.05
3,Animal and Vegetable Bi-Products,1521,Vegetable waxes and beeswax,2022,14799.0,
4,Foodstuffs,1601,Sausages,2022,664.0,0.17
4,Foodstuffs,1602,Other Prepared Meat,2022,1532.0,0.19
4,Foodstuffs,1603,Animal Extracts,2022,4243.0,
4,Foodstuffs,1604,Processed Fish,2022,6276.0,-0.59
4,Foodstuffs,1605,Processed Crustaceans,2022,976872.0,-1.17
4,Foodstuffs,1701,Raw Sugar,2022,294.0,-2.04
4,Foodstuffs,1702,Other Sugars,2022,3252634.0,-0.10
4,Foodstuffs,1704,Confectionery Sugar,2022,19106514.0,-1.05
4,Foodstuffs,1805,Cocoa Powder,2022,816904.0,-0.83
4,Foodstuffs,1806,Chocolate,2022,678230.0,0.13
4,Foodstuffs,1901,Malt Extract,2022,152507.0,-0.31
4,Foodstuffs,1902,Pasta,2022,365095.0,-0.75
4,Foodstuffs,1903,Tapioca,2022,7841.0,
4,Foodstuffs,1904,Prepared Cereals,2022,220731.0,-0.52
4,Foodstuffs,1905,Baked Goods,2022,423425.0,-0.31
4,Foodstuffs,2001,Pickled Foods,2022,112821.0,-0.71
4,Foodstuffs,2002,Processed Tomatoes,2022,4606806.0,-1.13
4,Foodstuffs,2003,Processed Mushrooms,2022,892273.0,0.57
4,Foodstuffs,2004,Other Frozen Vegetables,2022,283075.0,0.14
4,Foodstuffs,2005,Other Processed Vegetables,2022,758301.0,-0.76
4,Foodstuffs,2006,Sugar Preserved Foods,2022,10168287.0,-1.10
4,Foodstuffs,2007,Jams,2022,781204.0,-0.55
4,Foodstuffs,2008,Other Processed Fruits and Nuts,2022,5856520.0,-0.77
4,Foodstuffs,2009,Fruit Juice,2022,8441039.0,-0.93
4,Foodstuffs,2101,Coffee and Tea Extracts,2022,1834196.0,-0.75
4,Foodstuffs,2102,Yeast,2022,20071859.0,-0.08
4,Foodstuffs,2103,Sauces and Seasonings,2022,4037395.0,-0.43
4,Foodstuffs,2104,Soups and Broths,2022,9324.0,-0.30
4,Foodstuffs,2106,Other Edible Preparations,2022,8895112.0,-0.00
4,Foodstuffs,2201,Water,2022,8.0,-0.53
4,Foodstuffs,2202,Flavored Water,2022,2984065.0,-0.66
4,Foodstuffs,2203,Beer,2022,24760.0,-0.48
4,Foodstuffs,2207,Alcohol > 80% ABV,2022,3939374.0,-0.87
4,Foodstuffs,2208,Hard Liquor,2022,5563045.0,-0.91
4,Foodstuffs,2209,Vinegar,2022,448256.0,0.20
4,Foodstuffs,2302,Bran,2022,53979.0,-1.66
4,Foodstuffs,2303,Starch Residue,2022,158867.0,-0.08
4,Foodstuffs,2304,Soybean Meal,2022,21324.0,-1.31
4,Foodstuffs,2306,Other Vegetable Residues,2022,397939.0,-0.75
4,Foodstuffs,2308,Other Vegetable Residues and Waste,2022,68605.0,-0.85
4,Foodstuffs,2309,Animal Food,2022,64290871.0,-0.27
4,Foodstuffs,2401,Raw Tobacco,2022,1890248.0,-1.93
4,Foodstuffs,2402,Rolled Tobacco,2022,6.0,-0.91
4,Foodstuffs,2403,Processed Tobacco,2022,8.0,-0.70
5,Mineral Products,2501,Salt,2022,888746.0,-1.39
5,Mineral Products,2502,Iron Pyrites,2022,55899.0,
5,Mineral Products,2503,Sulphur,2022,46753.0,-1.91
5,Mineral Products,2504,Graphite,2022,13936791.0,-0.80
5,Mineral Products,2505,Sand,2022,3272644.0,-1.02
5,Mineral Products,2506,Quartz,2022,303760.0,-1.52
5,Mineral Products,2507,Kaolin,2022,21197375.0,-0.15
5,Mineral Products,2508,Clays,2022,11241659.0,-0.55
5,Mineral Products,2510,Calcium Phosphates,2022,41435.0,-1.68
5,Mineral Products,2511,Barium Sulphate,2022,4266386.0,-1.48
5,Mineral Products,2512,Siliceous Fossil Meals,2022,988919.0,
5,Mineral Products,2513,Pumice,2022,49765.0,
5,Mineral Products,2514,Slate,2022,2.0,
5,Mineral Products,2515,"Marble, Travertine and Alabaster",2022,19939170.0,-1.47
5,Mineral Products,2516,Granite,2022,164226.0,-1.88
5,Mineral Products,2517,Gravel and Crushed Stone,2022,24520.0,-0.30
5,Mineral Products,2518,Dolomite,2022,809266.0,
5,Mineral Products,2519,Magnesium Carbonate,2022,129416535.0,-0.59
5,Mineral Products,2520,Gypsum,2022,383442.0,-1.45
5,Mineral Products,2521,Limestone,2022,19714.0,-1.25
