Country,Country ID,Year,Imports (USD),Share (%)
Algeria,DZA,2023,687359635.0,0.104
Egypt,EGY,2023,1471395721.0,0.222
Libya,LBY,2023,435914971.0,0.066
Morocco,MAR,2023,1416309059.0,0.214
Sudan,SDN,2023,355608859.0,0.054
Tunisia,TUN,2023,371389177.0,0.056
Burundi,BDI,2023,71774.0,0.000
Comoros,COM,2023,22888297.0,0.003
Djibouti,DJI,2023,11169740.0,0.002
Ethiopia,ETH,2023,122246173.0,0.018
Kenya,KEN,2023,86588011.0,0.013
Madagascar,MDG,2023,152238714.0,0.023
Mozambique,MOZ,2023,2076501367.0,0.313
Mauritius,MUS,2023,61102459.0,0.009
Malawi,MWI,2023,70086068.0,0.011
Rwanda,RWA,2023,17313970.0,0.003
Somalia,SOM,2023,30867092.0,0.005
South Sudan,SSD,2023,1380743.0,0.000
Seychelles,SYC,2023,4417094.0,0.001
Tanzania,TZA,2023,1737290102.0,0.262
Uganda,UGA,2023,1511090713.0,0.228
Angola,AGO,2023,3734165261.0,0.563
Central African Republic,CAF,2023,1791981.0,0.000
Cameroon,CMR,2023,573430408.0,0.086
Democratic Republic of the Congo,COD,2023,683620757.0,0.103
Republic of the Congo,COG,2023,658525241.0,0.099
Gabon,GAB,2023,521911960.0,0.079
Equatorial Guinea,GNQ,2023,174264228.0,0.026
Sao Tome and Principe,STP,2023,42609.0,0.000
Chad,TCD,2023,5043069.0,0.001
Botswana,BWA,2023,1088533514.0,0.164
Lesotho,LSO,2023,86323984.0,0.013
Namibia,NAM,2023,136065019.0,0.021
Eswatini,SWZ,2023,12727290.0,0.002
South Africa,ZAF,2023,11254826176.0,1.697
Zambia,ZMB,2023,2052843054.0,0.310
Zimbabwe,ZWE,2023,139327300.0,0.021
Benin,BEN,2023,219037282.0,0.033
Burkina Faso,BFA,2023,272081650.0,0.041
Cote d'Ivoire,CIV,2023,379349997.0,0.057
Cape Verde,CPV,2023,10481815.0,0.002
Ghana,GHA,2023,2293725831.0,0.346
Guinea,GIN,2023,1447731202.0,0.218
Gambia,GMB,2023,42576396.0,0.006
GuineaBissau,GNB,2023,72337192.0,0.011
Liberia,LBR,2023,32824970.0,0.005
Mali,MLI,2023,74885644.0,0.011
Mauritania,MRT,2023,25119395.0,0.004
Niger,NER,2023,109155239.0,0.016
Nigeria,NGA,2023,3753149564.0,0.566
Senegal,SEN,2023,676232919.0,0.102
Saint Helena,SHN,2023,8206.0,0.000
Sierra Leone,SLE,2023,96457652.0,0.015
Togo,TGO,2023,867593930.0,0.131
Kazakhstan,KAZ,2023,610167899.0,0.092
Kyrgyzstan,KGZ,2023,14837293.0,0.002
Tajikistan,TJK,2023,18577954.0,0.003
Turkmenistan,TKM,2023,211921339.0,0.032
Uzbekistan,UZB,2023,119119178.0,0.018
China,CHN,2023,119477530828.0,18.020
Hong Kong,HKG,2023,3992664626.0,0.602
Japan,JPN,2023,18321390975.0,2.763
South Korea,KOR,2023,18920406134.0,2.854
Macau,MAC,2023,8723805.0,0.001
Mongolia,MNG,2023,1682784.0,0.000
North Korea,PRK,2023,1072412.0,0.000
Chinese Taipei,TWN,2023,7915898401.0,1.194
Brunei,BRN,2023,143269714.0,0.022
Indonesia,IDN,2023,23321745557.0,3.517
Cambodia,KHM,2023,360601998.0,0.054
Laos,LAO,2023,223183388.0,0.034
Burma,MMR,2023,1021106994.0,0.154
Malaysia,MYS,2023,12141239384.0,1.831
Philippines,PHL,2023,1634677495.0,0.247
Singapore,SGP,2023,7310355259.0,1.103
Thailand,THA,2023,10766947610.0,1.624
TimorLeste,TLS,2023,53406.0,0.000
Vietnam,VNM,2023,9543667482.0,1.439
Afghanistan,AFG,2023,667421905.0,0.101
Bangladesh,BGD,2023,1893115330.0,0.286
Bhutan,BTN,2023,449809983.0,0.068
Iran,IRN,2023,1018192033.0,0.154
Sri Lanka,LKA,2023,996172582.0,0.150
Maldives,MDV,2023,75556103.0,0.011
Nepal,NPL,2023,811463437.0,0.122
Pakistan,PAK,2023,594145.0,0.000
United Arab Emirates,ARE,2023,38098871198.0,5.746
Armenia,ARM,2023,45188005.0,0.007
Azerbaijan,AZE,2023,1239113202.0,0.187
Bahrain,BHR,2023,775966236.0,0.117
Georgia,GEO,2023,18554583.0,0.003
Iraq,IRQ,2023,29842816838.0,4.501
Israel,ISR,2023,1855084403.0,0.280
Jordan,JOR,2023,1938300370.0,0.292
Kuwait,KWT,2023,9500152837.0,1.433
Lebanon,LBN,2023,80034700.0,0.012
Oman,OMN,2023,4362463498.0,0.658
Palestine,PSE,2023,694258.0,0.000
Qatar,QAT,2023,12912348950.0,1.947
Saudi Arabia,SAU,2023,34756851310.0,5.242
Syria,SYR,2023,126976336.0,0.019
Turkey,TUR,2023,3207230277.0,0.484
Yemen,YEM,2023,216270423.0,0.033
Cyprus,CYP,2023,37842461.0,0.006
Bulgaria,BGR,2023,304440857.0,0.046
Belarus,BLR,2023,32317740.0,0.005
Czechia,CZE,2023,1232821930.0,0.186
Hungary,HUN,2023,520634586.0,0.079
Moldova,MDA,2023,88330355.0,0.013
Poland,POL,2023,1759919774.0,0.265
Romania,ROU,2023,565193930.0,0.085
Russia,RUS,2023,66149331881.0,9.977
Slovakia,SVK,2023,265611002.0,0.040
Ukraine,UKR,2023,586288983.0,0.088
Denmark,DNK,2023,837586866.0,0.126
Estonia,EST,2023,127509816.0,0.019
Finland,FIN,2023,1022555648.0,0.154
United Kingdom,GBR,2023,8587634236.0,1.295
Ireland,IRL,2023,827917970.0,0.125
Iceland,ISL,2023,7723340.0,0.001
Lithuania,LTU,2023,122625615.0,0.018
Latvia,LVA,2023,66965992.0,0.010
Norway,NOR,2023,782782608.0,0.118
Sweden,SWE,2023,1996488860.0,0.301
Albania,ALB,2023,8215536.0,0.001
Andorra,AND,2023,65289.0,0.000
Bosnia and Herzegovina,BIH,2023,19097832.0,0.003
Spain,ESP,2023,2946758421.0,0.444
Greece,GRC,2023,720903063.0,0.109
Croatia,HRV,2023,52688271.0,0.008
Italy,ITA,2023,6525638833.0,0.984
North Macedonia,MKD,2023,4496793.0,0.001
Malta,MLT,2023,49866032.0,0.008
Montenegro,MNE,2023,623677.0,0.000
Portugal,PRT,2023,218707290.0,0.033
San Marino,SMR,2023,316080.0,0.000
Serbia,SRB,2023,34882039.0,0.005
