Section ID,Section,HS4 ID,HS4,Year,Exports from China to India,PCI
1,Animal Products,0106,Other Animals,2023,64279.0,
1,Animal Products,0301,Live Fish,2023,6775.0,-0.86
1,Animal Products,0303,Non-fillet Frozen Fish,2023,1365696.0,-1.04
1,Animal Products,0306,Crustaceans,2023,682719.0,-2.01
1,Animal Products,0407,Eggs,2023,160.0,-0.51
1,Animal Products,0408,Processed Egg Products,2023,5827.0,-0.18
1,Animal Products,0410,Other Edible Animal Products,2023,8814.0,-0.96
1,Animal Products,0502,Pig Hair,2023,929616.0,
1,Animal Products,0505,Bird Feathers and Skins,2023,99848.0,0.28
1,Animal Products,0508,Coral and Shells,2023,88378.0,
1,Animal Products,0510,Pharmaceutical Animal Products,2023,2681023.0,
1,Animal Products,0511,Other Inedible Animal Products,2023,1621278.0,-0.49
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2023,9309526.0,-1.03
2,Vegetable Products,0603,Cut Flowers,2023,62051.0,-1.56
2,Vegetable Products,0604,Plant foliage,2023,461478.0,-1.02
2,Vegetable Products,0706,Root Vegetables,2023,9768.0,-0.97
2,Vegetable Products,0710,Frozen Vegetables,2023,224538.0,-0.47
2,Vegetable Products,0711,Preserved Vegetables,2023,1228427.0,
2,Vegetable Products,0712,Dried Vegetables,2023,2360873.0,-1.23
2,Vegetable Products,0713,Dried Legumes,2023,25979031.0,-2.27
2,Vegetable Products,0802,Other Nuts,2023,183604.0,-1.33
2,Vegetable Products,0805,Citrus,2023,4394717.0,-1.14
2,Vegetable Products,0806,Grapes,2023,20240750.0,-1.44
2,Vegetable Products,0808,Apples and Pears,2023,145822.0,-0.62
2,Vegetable Products,0809,Pitted Fruits,2023,3307645.0,-1.27
2,Vegetable Products,0811,Frozen Fruits and Nuts,2023,14924.0,-0.74
2,Vegetable Products,0813,Dried Fruits,2023,120130.0,-1.49
2,Vegetable Products,0901,Coffee,2023,52205.0,-1.31
2,Vegetable Products,0902,Tea,2023,1400160.0,-1.59
2,Vegetable Products,0904,Pepper,2023,9179403.0,-1.89
2,Vegetable Products,0906,Cinnamon,2023,1674593.0,
2,Vegetable Products,0909,Spice Seeds,2023,45261717.0,-2.16
2,Vegetable Products,0910,Spices,2023,345400.0,-1.65
2,Vegetable Products,1005,Corn,2023,124.0,-1.13
