Section ID,Section,HS4 ID,HS4,Year,Exports from China to India,PCI
1,Animal Products,0106,Other Animals,2024,174951.0,
1,Animal Products,0210,Preserved Meat,2024,895.0,0.10
1,Animal Products,0301,Live Fish,2024,10712.0,-0.85
1,Animal Products,0303,Non-fillet Frozen Fish,2024,5467955.0,-0.97
1,Animal Products,0306,Crustaceans,2024,204305.0,-1.99
1,Animal Products,0308,"Aquatic invertebrates, other than crustaceans and molluscs",2024,9941.0,
1,Animal Products,0408,Processed Egg Products,2024,125870.0,-0.02
1,Animal Products,0410,Other Edible Animal Products,2024,10881.0,-0.94
1,Animal Products,0502,Pig Hair,2024,778562.0,
1,Animal Products,0505,Bird Feathers and Skins,2024,345212.0,0.02
1,Animal Products,0508,Coral and Shells,2024,72368.0,
1,Animal Products,0510,Pharmaceutical Animal Products,2024,2112699.0,-1.45
1,Animal Products,0511,Other Inedible Animal Products,2024,1549803.0,-0.56
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2024,11266218.0,-0.85
2,Vegetable Products,0603,Cut Flowers,2024,425313.0,-1.65
2,Vegetable Products,0604,Plant foliage,2024,377339.0,-0.99
2,Vegetable Products,0706,Root Vegetables,2024,1611.0,-0.90
2,Vegetable Products,0710,Frozen Vegetables,2024,430905.0,-0.48
2,Vegetable Products,0711,Preserved Vegetables,2024,380550.0,
2,Vegetable Products,0712,Dried Vegetables,2024,2695350.0,-0.94
2,Vegetable Products,0713,Dried Legumes,2024,30012462.0,-2.17
2,Vegetable Products,0714,Cassava,2024,8699.0,-2.11
2,Vegetable Products,0802,Other Nuts,2024,353101.0,-1.16
2,Vegetable Products,0805,Citrus,2024,10239021.0,-1.13
2,Vegetable Products,0806,Grapes,2024,22510550.0,-1.32
2,Vegetable Products,0808,Apples and Pears,2024,278.0,-0.61
2,Vegetable Products,0809,Pitted Fruits,2024,4049505.0,-1.20
2,Vegetable Products,0810,Other Fruits,2024,103338.0,-1.08
2,Vegetable Products,0811,Frozen Fruits and Nuts,2024,235729.0,-0.68
2,Vegetable Products,0813,Dried Fruits,2024,452976.0,-1.48
2,Vegetable Products,0901,Coffee,2024,2711.0,-1.21
2,Vegetable Products,0902,Tea,2024,1910142.0,-1.72
2,Vegetable Products,0904,Pepper,2024,7033773.0,-1.88
2,Vegetable Products,0906,Cinnamon,2024,1357101.0,
2,Vegetable Products,0908,"Nutmeg, mace and cardamons",2024,38832.0,-1.96
2,Vegetable Products,0909,Spice Seeds,2024,1927471.0,-2.06
2,Vegetable Products,0910,Spices,2024,9022686.0,-1.69
2,Vegetable Products,1006,Rice,2024,65.0,-1.87
2,Vegetable Products,1008,Buckwheat,2024,57497.0,
2,Vegetable Products,1104,Processed Cereals,2024,47654.0,-0.58
2,Vegetable Products,1106,Legume Flours,2024,6460.0,-1.28
2,Vegetable Products,1108,Starches,2024,15074.0,-0.42
2,Vegetable Products,1109,Wheat Gluten,2024,16662887.0,0.25
2,Vegetable Products,1202,Ground Nuts,2024,29663.0,-2.67
2,Vegetable Products,1206,Sunflower Seeds,2024,6202362.0,-0.58
2,Vegetable Products,1207,Other Oily Seeds,2024,331727.0,-2.51
2,Vegetable Products,1209,Sowing Seeds,2024,11398018.0,-0.50
2,Vegetable Products,1211,Perfume Plants,2024,4790706.0,-1.95
2,Vegetable Products,1212,"Locust beans, seaweed, sugar beet, cane, for food",2024,3118033.0,-1.74
2,Vegetable Products,1301,Insect Resins,2024,8707619.0,-2.82
2,Vegetable Products,1302,Vegetable Saps,2024,44946730.0,-0.25
2,Vegetable Products,1401,Vegetable Plaiting Materials,2024,113534.0,
2,Vegetable Products,1404,Other Vegetable Products,2024,156773.0,-1.66
3,Animal and Vegetable Bi-Products,1504,Fish Oil,2024,13558104.0,-1.91
3,Animal and Vegetable Bi-Products,1505,Wool Grease,2024,1773335.0,
3,Animal and Vegetable Bi-Products,1506,Other Animal Fats,2024,9542.0,0.40
3,Animal and Vegetable Bi-Products,1507,Soybean Oil,2024,1473.0,-1.39
3,Animal and Vegetable Bi-Products,1508,Ground Nut Oil,2024,6419.0,-2.97
3,Animal and Vegetable Bi-Products,1512,Seed Oils,2024,76.0,-0.86
3,Animal and Vegetable Bi-Products,1515,Other Pure Vegetable Oils,2024,1244361.0,-0.77
3,Animal and Vegetable Bi-Products,1516,Other Vegetable Oils,2024,89649.0,-1.36
3,Animal and Vegetable Bi-Products,1517,Margarine,2024,12900.0,-0.84
3,Animal and Vegetable Bi-Products,1518,Inedible Fats and Oils,2024,185660.0,-0.06
3,Animal and Vegetable Bi-Products,1520,Glycerol,2024,419.0,0.02
3,Animal and Vegetable Bi-Products,1521,Vegetable waxes and beeswax,2024,231663.0,
3,Animal and Vegetable Bi-Products,1522,Fat and Oil Residues,2024,14034.0,-0.42
4,Foodstuffs,1601,Sausages,2024,310.0,0.10
4,Foodstuffs,1602,Other Prepared Meat,2024,766.0,0.19
4,Foodstuffs,1603,Animal Extracts,2024,21844.0,
4,Foodstuffs,1604,Processed Fish,2024,7102.0,-0.69
4,Foodstuffs,1605,Processed Crustaceans,2024,801343.0,-1.25
4,Foodstuffs,1701,Raw Sugar,2024,65.0,-1.93
4,Foodstuffs,1702,Other Sugars,2024,2850215.0,0.15
4,Foodstuffs,1704,Confectionery Sugar,2024,26531020.0,-0.80
4,Foodstuffs,1805,Cocoa Powder,2024,1374095.0,-0.91
4,Foodstuffs,1806,Chocolate,2024,352027.0,0.05
4,Foodstuffs,1901,Malt Extract,2024,123206.0,-0.19
4,Foodstuffs,1902,Pasta,2024,606802.0,-0.79
4,Foodstuffs,1903,Tapioca,2024,28769.0,
4,Foodstuffs,1904,Prepared Cereals,2024,130014.0,-0.57
4,Foodstuffs,1905,Baked Goods,2024,522209.0,-0.41
4,Foodstuffs,2001,Pickled Foods,2024,59739.0,-0.86
4,Foodstuffs,2002,Processed Tomatoes,2024,1183072.0,-0.76
4,Foodstuffs,2003,Processed Mushrooms,2024,1030932.0,0.67
4,Foodstuffs,2004,Other Frozen Vegetables,2024,188786.0,0.05
4,Foodstuffs,2005,Other Processed Vegetables,2024,742817.0,-0.72
4,Foodstuffs,2006,Sugar Preserved Foods,2024,14654447.0,-1.02
4,Foodstuffs,2007,Jams,2024,57415.0,-0.57
4,Foodstuffs,2008,Other Processed Fruits and Nuts,2024,10111233.0,-0.79
4,Foodstuffs,2009,Fruit Juice,2024,1992337.0,-0.91
4,Foodstuffs,2101,Coffee and Tea Extracts,2024,7119856.0,-0.71
4,Foodstuffs,2102,Yeast,2024,24465372.0,-0.26
4,Foodstuffs,2103,Sauces and Seasonings,2024,6232465.0,-0.53
4,Foodstuffs,2104,Soups and Broths,2024,2583.0,-0.36
4,Foodstuffs,2106,Other Edible Preparations,2024,13675064.0,-0.00
4,Foodstuffs,2201,Water,2024,3439.0,-0.67
4,Foodstuffs,2202,Flavored Water,2024,4434558.0,-0.54
4,Foodstuffs,2203,Beer,2024,71554.0,-0.84
4,Foodstuffs,2204,Wine,2024,7355.0,-0.36
4,Foodstuffs,2207,Alcohol > 80% ABV,2024,313970.0,-0.88
4,Foodstuffs,2208,Hard Liquor,2024,613044.0,-0.54
4,Foodstuffs,2209,Vinegar,2024,296070.0,0.03
4,Foodstuffs,2301,Animal Meal and Pellets,2024,27083.0,-1.12
4,Foodstuffs,2302,Bran,2024,2423.0,-1.72
4,Foodstuffs,2303,Starch Residue,2024,792547.0,0.03
4,Foodstuffs,2304,Soybean Meal,2024,647122.0,-1.59
4,Foodstuffs,2306,Other Vegetable Residues,2024,547170.0,-0.85
4,Foodstuffs,2308,Other Vegetable Residues and Waste,2024,98212.0,-0.85
4,Foodstuffs,2309,Animal Food,2024,83502435.0,-0.40
4,Foodstuffs,2401,Raw Tobacco,2024,285503.0,-1.84
4,Foodstuffs,2402,Rolled Tobacco,2024,5199.0,-0.91
4,Foodstuffs,2403,Processed Tobacco,2024,1326.0,-0.74
5,Mineral Products,2501,Salt,2024,1476398.0,-1.23
5,Mineral Products,2502,Iron Pyrites,2024,238876.0,
