Country,Country ID,Year,Imports (USD),Share (%)
Algeria,DZA,2022,1839998021.0,0.254
Egypt,EGY,2022,2588823268.0,0.357
Libya,LBY,2022,590226855.0,0.081
Morocco,MAR,2022,2926734280.0,0.404
Sudan,SDN,2022,177317966.0,0.024
Tunisia,TUN,2022,348784196.0,0.048
Burundi,BDI,2022,399380.0,0.000
Comoros,COM,2022,12750492.0,0.002
Djibouti,DJI,2022,38846581.0,0.005
Eritrea,ERI,2022,3254.0,0.000
Ethiopia,ETH,2022,79207841.0,0.011
Kenya,KEN,2022,89442960.0,0.012
Madagascar,MDG,2022,147805057.0,0.020
Mozambique,MOZ,2022,2929810330.0,0.404
Mauritius,MUS,2022,83723713.0,0.012
Malawi,MWI,2022,50239328.0,0.007
Rwanda,RWA,2022,42504991.0,0.006
Somalia,SOM,2022,15629460.0,0.002
South Sudan,SSD,2022,1447878.0,0.000
Seychelles,SYC,2022,7881506.0,0.001
Tanzania,TZA,2022,2815438966.0,0.389
Uganda,UGA,2022,489976496.0,0.068
Angola,AGO,2022,4384070101.0,0.605
Central African Republic,CAF,2022,3356469.0,0.000
Cameroon,CMR,2022,909028882.0,0.125
Democratic Republic of the Congo,COD,2022,55762953.0,0.008
Republic of the Congo,COG,2022,2276705905.0,0.314
Gabon,GAB,2022,722979976.0,0.100
Equatorial Guinea,GNQ,2022,855323934.0,0.118
Sao Tome and Principe,STP,2022,4351.0,0.000
Chad,TCD,2022,6094489.0,0.001
Botswana,BWA,2022,488843788.0,0.067
Lesotho,LSO,2022,2047.0,0.000
Namibia,NAM,2022,30083996.0,0.004
Eswatini,SWZ,2022,7834579.0,0.001
South Africa,ZAF,2022,9992194873.0,1.379
Zambia,ZMB,2022,134211395.0,0.019
Zimbabwe,ZWE,2022,14127942.0,0.002
Benin,BEN,2022,513865779.0,0.071
Burkina Faso,BFA,2022,165241068.0,0.023
Cote d'Ivoire,CIV,2022,752990803.0,0.104
Cape Verde,CPV,2022,4216021.0,0.001
Ghana,GHA,2022,3416694396.0,0.472
Guinea,GIN,2022,2773402285.0,0.383
Gambia,GMB,2022,53649618.0,0.007
GuineaBissau,GNB,2022,202710148.0,0.028
Liberia,LBR,2022,35875502.0,0.005
Mali,MLI,2022,70326158.0,0.010
Mauritania,MRT,2022,24124241.0,0.003
Niger,NER,2022,73746572.0,0.010
Nigeria,NGA,2022,8230901674.0,1.136
Senegal,SEN,2022,1322282960.0,0.183
Saint Helena,SHN,2022,34901.0,0.000
Sierra Leone,SLE,2022,36462941.0,0.005
Togo,TGO,2022,549113932.0,0.076
Kazakhstan,KAZ,2022,1975331351.0,0.273
Kyrgyzstan,KGZ,2022,4948570.0,0.001
Tajikistan,TJK,2022,4000025.0,0.001
Turkmenistan,TKM,2022,90482160.0,0.012
Uzbekistan,UZB,2022,89184811.0,0.012
China,CHN,2022,100766493884.0,13.911
Hong Kong,HKG,2022,14501328929.0,2.002
Japan,JPN,2022,15520725718.0,2.143
South Korea,KOR,2022,21129630823.0,2.917
Macau,MAC,2022,14693908.0,0.002
Mongolia,MNG,2022,1353521.0,0.000
North Korea,PRK,2022,1471366.0,0.000
Chinese Taipei,TWN,2022,7291628493.0,1.007
Brunei,BRN,2022,312808790.0,0.043
Indonesia,IDN,2022,27388189574.0,3.781
Cambodia,KHM,2022,181450947.0,0.025
Laos,LAO,2022,159055960.0,0.022
Burma,MMR,2022,1020169643.0,0.141
Malaysia,MYS,2022,13584267438.0,1.875
Philippines,PHL,2022,999253183.0,0.138
Singapore,SGP,2022,21626654352.0,2.986
Thailand,THA,2022,11304426778.0,1.561
TimorLeste,TLS,2022,1494.0,0.000
Vietnam,VNM,2022,8585866248.0,1.185
Afghanistan,AFG,2022,414469097.0,0.057
Bangladesh,BGD,2022,2001456009.0,0.276
Bhutan,BTN,2022,358075344.0,0.049
Iran,IRN,2022,1342260167.0,0.185
Sri Lanka,LKA,2022,1106191301.0,0.153
Maldives,MDV,2022,533554097.0,0.074
Nepal,NPL,2022,962452671.0,0.133
Pakistan,PAK,2022,18085661.0,0.002
United Arab Emirates,ARE,2022,52805827115.0,7.290
Armenia,ARM,2022,197439745.0,0.027
Azerbaijan,AZE,2022,1648603965.0,0.228
Bahrain,BHR,2022,964713878.0,0.133
Georgia,GEO,2022,317569766.0,0.044
Iraq,IRQ,2022,38767945419.0,5.352
Israel,ISR,2022,2973698094.0,0.411
Jordan,JOR,2022,2554940938.0,0.353
Kuwait,KWT,2022,13611111476.0,1.879
Lebanon,LBN,2022,61760058.0,0.009
Oman,OMN,2022,8652515565.0,1.194
Palestine,PSE,2022,365963.0,0.000
